X,Y,amenity,name,addr:postcode,name:en,addr:city,addr:street,opening_hours,cuisine,internet_access,outdoor_seating,addr:housenumber,smoking,phone,addr:country,operator,website,wheelchair,internet_access:fee,int_name,name:mk,old_name,addr:city:en,addr:street:en,cof,email,leisure
21.4444199,41.9768128,cafe,63,,,,,,,,,,,,,,,,,,,,,,,,
"21.3862677,42.004606,cafe,Ch2pter,,Ch2pter,Cкoпje,Љубљанска,""09:00-23:45"
21.3910392,42.0048738,cafe,Juicy and Co,,,,,,vegan,,,,,,,,,,,,,,,,,,
21.40994,42.0047408,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
"21.4108497,42.0055031,cafe,Joy Café & Bakery,1000,,Cкoпje,Никола Тесла,,""sandwich"
21.4139237,42.0069784,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.3722969,42.0071574,cafe,Badu,,,,,,,,,,,,,,,,,,,,,,cof,,
21.4758817,41.9894222,cafe,Кафе Мамбо,,,,,,,,,,,,,,,,,,,,,,,,
21.4768613,41.9897212,cafe,Кафе Писта,,,,,,,,,,,,,,,,,,,,,,,,
21.453477,41.9885027,cafe,,,Happy,,,,,,,,,,,,,,,,,,,,,,
21.4534598,41.9885844,cafe,Палма,,,,,,,yes,yes,,outside,,,,,no,no,,,,,,,,
21.4504664,41.9915282,cafe,Red Caffe,,,,,,,,,,,,,,,,,,,,,,,,
21.4496023,41.9919726,cafe,,,Get Caffe,,,,,,,,,,,,,,,,,,,,,,
21.4659543,41.9851089,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.4378942,42.0131776,cafe,Te Flladi,1000,,,Џон Кенеди,Mo-Su 06:00-02:00,balkan,wlan,,,,+38978324244,,Nazim Sulejmani,,,,,,,,,,,
21.4324491,41.9950653,cafe,Up Cafe,,,,,,,,,,,,,,,,,,,,,,,,
"21.4330712,41.9958677,cafe,Telekom Trend Lounge Bar,1000,,Cкoпje,Кеј 13 Ноември,""Mo-Su 00:00-00:45,08:00-24:00"",""ice_cream"
21.4368849,41.999241,cafe,Old Town,,,,,,,,,,,,,,,,,,,,,,,,
21.4358699,42.0000003,cafe,Nargile Cafe,,,,,,,,,,,,,,,,,,,,,,,,
21.4366103,41.9994358,cafe,Clique Bar,,,,,24/7,,wlan,,,,,,,,,,,,,,,,,
"21.4361778,42.0002555,cafe,k8,,,,,,""crepe"
21.4373453,41.9984414,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
"21.4370632,42.0017629,cafe,Cafe Old Bazaar,1000,,Cкoпje,,08:00-23:00,""Coffee,_Tea,_cold_drinks"",yes,,,outside,,MK,,,,,,,,Skopje,,,,"
21.4375923,42.0011325,cafe,Shisha,,,,,,,,yes,,,,,,,,,,,,,,,,
"21.4341981,42.0128215,cafe,Kandi,255,Kandy,,,Mo-Su 07:15-00:00,""coffee_shop"
21.4082395,42.0051454,cafe,Cafeteria,,,,,,,,,,,,,,,,,,,,,,,,
21.403605,42.0092296,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.404147,42.0137478,cafe,Coffeeshop Company lounge,,Mezzo Coffee & Lounge,,,,local,,,,,,,Sistina,,,,,,,,,,,
21.4264143,41.9922468,cafe,DejaVu,,,,,,,,,,,,,,,,,,,,,,,,
21.4266738,41.9922273,cafe,Istanbul,,,,,,,,,,,,,,,,,,,,,,,,
21.427602,41.9938495,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.4293734,41.9923772,cafe,Corsso,1000,,Скопје,Даме Груев,,,,,,,,,,,,,,,,,,,,
21.429836,41.992653,cafe,Плеј Кафе,1000,Play Cafe,Скопје,Македонија,,,,,,,,,,,,,,,,,,,,
21.4298728,41.9927362,cafe,Caffe Bar Dolce Vita,1000,,Скопје,Македонија,,,,,,,,,,,,,,,,,,,,
"21.4301082,41.9933851,cafe,Ливинг Рум,1000,Living Room,Скопје,Македонија,""Mo-Th 08:00-24:00"
21.4302256,41.9929701,cafe,Caffe Novo,1000,,Скопје,Македонија,,,,,,,,,,,,,,,,,,,,
21.430365,41.9938562,cafe,Gnezdo,1000,,Скопје,Македонија,,,,,,,,,,,,,,,Il Caffè di Roma,,,,,
21.4306195,41.9944452,cafe,Bistro Skopje,1000,,Скопје,Македонија,,,,yes,41,separated,,,,,yes,,,,,,,,,
21.4308588,41.9949424,cafe,DRAMA coffee house,1000,,Скопје,Македонија,08:00-01:00,,,,,,,,,,,,,,,,,,,
21.4271773,41.9954521,cafe,Крин,,,,,,,,yes,,,,,,,,,,,,,,,,
21.428439,41.9970171,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.4284228,41.9971825,cafe,,,Squeeze Me,,,,,,,,,,,,,,,,,,,,,,
21.4308204,41.9955477,cafe,Боката,,,,Никола Вапцаров,,,yes,,1,,,,,,limited,,Bokata,,,,,,,
21.4310013,41.9952414,cafe,Caffe Skopje,1000,,Скопје,Македонија,08:00-12:00,,,,,,,,,,,,,,,,,,,
21.4260361,41.9907255,cafe,Coffee O'Clock,,,,,,,,,,,,,,,,,,,,,,,,
21.4230113,41.9948604,cafe,AMG,,,,,,,,,,,,,,,,,,,,,,,,
21.4232268,41.9948867,cafe,Benneton,,,,,,,,,,,,,,,,,,,,,,,,
21.4230134,41.9958526,cafe,New Age,,,,,,,,,,,,,,,,,,,,,,,,
21.4253358,41.9955693,cafe,Стрип,,,,Димитрија чуповски,,,,,24,,,,,,,,,,,,,,,
21.4233514,41.9970085,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.4244255,41.9980418,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.4242861,41.9987593,cafe,,,7 Grama Espresso Studio,,,,,,,,,,,,,,,,,,,,,,
21.4253762,41.9986406,cafe,Винил,1000,Vinyl,Cкoпje,Булевар Партизански Одреди,,,,,14,,,,,https://www.facebook.com/vinylmk/,,,,,,,,,,
21.4197114,41.9898526,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.4192046,41.9927714,cafe,Изи,,Izzi,,,,,,,,,,,,,,,,,,,,,,
21.4186412,41.9946427,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.3981384,42.0033204,cafe,Prikazna,,,,,,,,,,,,,,,,,,,,,,,,
21.398346,42.0034224,cafe,Fluid,,Fluid,,,,,,,,,,,,,,,,Флуид,,,,,,
21.3991821,42.0034483,cafe,Giovani,,Giovani,,,,regional,,,,,,,,,,,,Џовани,,,,,,
21.3994796,42.0030494,cafe,Sugarland,,,,,,,,,,,,,,,,,,,,,,,,
21.3999451,42.0031059,cafe,Мартини,,,,,,,,,,,,,,,,,,,,,,,,
21.3970638,42.0038026,cafe,Led Zeppelin,,,,,,,,,,,,,,,,,,,,,,,,
21.3990452,42.0151641,cafe,Tonnis Bakeri,,,,,,,wlan,,,outside,,,Tonnish Bakeri,,,no,,,,,,,,
21.4093297,41.995913,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.4091295,41.997291,cafe,Ли,,Lee,,,,coffee_shop,,,,,,,,,,,,,,,,,,
21.411556,41.9956061,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.4127725,41.999411,cafe,Концепт37,,Concept37,,,,,,,,,,,,,,,Koncept37,,,,,,,
21.4158769,42.0003534,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.415006,42.0038265,cafe,The Gallery,1000,,Cкoпje,,,,,,,,,,,,,,,,,,,,,
21.4146731,42.0042809,cafe,Cafe Bela,1000,,Cкoпje,,09:00 - 00:00,,,,,,,,,,,,,,,,,,,
21.4151255,42.0039722,cafe,MonAmi,1000,,Cкoпje,,,,,,,,,,,,,,,,,,,,,
21.415173,42.0040547,cafe,Жапон Кафе Бар,1000,Zapon Coffee Bar,Cкoпje,,07:30 - 23:30,,,,,,,,,,,,,,,,,,,
21.4159604,42.0047028,cafe,Бугати,,Bugatti,,,,,,,,,,,,,,,,,,,,,,
21.4414844,41.9931868,cafe,,,O La La,,,,,,,,,,,,,,,,,,,,,,
21.4454673,41.9911127,cafe,,,Cafe Jabolko,,,Mo-Su 06:00-22:00,,wlan,,,,,,,,,,,,,,,,,
"21.3909265,42.0041936,cafe,Trend Food Bar,,Trend Food Bar,,,""08:00-00:00"
21.3921091,42.0038662,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.393778,42.004566,cafe,Krem,,,,,,,,,,,,,,,,,,,,,,,,
21.4162239,41.9934306,cafe,9,,,,,,,,,,,,,,,,,,,,,,,,
21.4171739,41.9937283,cafe,Авантура,,,,,,,,,,,,,,,,,,,,,,,,playground
21.4164328,41.9939731,cafe,,,,,,,,,,,,,,,,,,,,СПА,,,,,
21.4173314,41.9947238,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.4168806,41.9984995,cafe,Belier,1000,,,Владимир Полежановски,,,,,,,,,,,,,,,,,,,,
21.4172361,41.9990907,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.417224,41.9992004,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.416703,42.0001541,cafe,Броз Кафе,,Broz Cafe,,,,,,,,,,,,,,,,,,,,,,
21.417262,42.0009888,cafe,Кафе Змија,,,,,,,,,,,,,,,,,,,,,,,,
21.4175044,42.0007963,cafe,Кафе Филипос,,,,Благој Давков,,coffee_shop,,,2,,,,,,,,,,,,,,,
21.4216953,42.0013652,cafe,Laika,,,,,,,,,,,,,,,,,,,,,,,,
21.423008,42.0012294,cafe,fourplay,1000,,Cкoпje,Орце Николов,,,,,93,,,,,,,,,,,,,,,
21.4218407,42.0023198,cafe,Кахава,1000,Cahawa,,,,,,,,,,,,,,,,,,,,,,
21.4181784,42.0087916,cafe,Централ Парк,,,,,,,,,,,,,,,,,,,,,,,,