X,Y,shop,name,addr:street,addr:housenumber,name:en,opening_hours,addr:city,website,addr:postcode,operator,name:mk,addr:country,phone,addr:city:en,addr:street:en,alt_name,amenity,cuisine,payment:cash
21.3717776,42.003998,bakery,Krofnite od Hrom,,,,,,,,,,,,,,,,,
21.3732237,42.0043208,bakery,Kam market,Војвода Васил Чакаларов,,,,,,1000,,,,,,,,,,
21.3515425,42.0021431,bakery,Алекса Демниевски 25,,,,,,,,,Алекса Демниевски 25,,,,,,,,
21.3818221,42.0058308,convenience,Ралекс Маркет,,,Raleks Market,,,https://www.facebook.com/raleksmarketi/,,,,,,,,,,,
21.3836919,42.0074692,bakery,Special,,,,,,,,Tinex,,,,,,Специјал,,regional,
21.4148494,42.0062031,bakery,Slast,,,,,,,,,,,,,,,,,
21.3750902,42.0060976,bakery,Лепа и Русе,,,,,,,,,,,,,,,,,
21.376509,42.0061557,convenience,,,,,,,,,,,,,,,,,,
21.3719748,42.0071667,convenience,DIEM-GP,,,,,,,,,,,,,,,,,
21.371862,42.0071939,convenience,Алберто,,,Alberto,,,,,,,,,,,,,,
21.4524338,41.987517,convenience,Бомбоњера Кики,,,,,,,,,,,,,,,,,
21.4546638,41.988117,bakery,ваташа,,,,,,,,,,,,,,,,,
21.4328019,41.9947174,bakery,Bakal bakery Cafe,,,,Mo-Sa 06:00-22:00,,,,,Бакал,,,,,,,,yes
21.4338499,41.9944492,confectionery,Evropa - Centar 3,11 Октомври,GTC Prizemje,,09:00-21:00,Скопје,http://www.evropa.com.mk/prodavnici.php#,,,,,,,,,,,
"21.432686,41.9953181,bakery,Breadway Bakery,,,,""Mo-Fr 06:00-15:00"
21.4329109,41.995252,bakery,A&M Bakery,,,,,,,,,,,,,,,,,
21.4357066,41.9994752,confectionery,Rigara,,,Rigara,,,,,,Rigara,,,,,,,,
21.4369189,42.0005117,bakery,,,,,,,,,,,,,,,,,,
21.4369403,42.0007286,bakery,,,,Burek (not too good),,,,,,,,,,,,,,
21.4373116,42.0016383,bakery,Турска баклава „Ангела Меркел“,,,Angela Merkel Turkish Baklava,,,,,,Турска баклава „Анегела Маркел“,,,,,,,,
21.4386895,42.0021614,confectionery,Evropa - Cair,Битпазарска,2,,08:00 - 19:30,Cкoпje,http://www.evropa.com.mk/prodavnici.php#,1000,,,MK,,Skopje,,,,,
21.42817,41.9886496,bakery,,,,,,,,,,,,,,,,,,
21.4308935,41.986975,bakery,Вегера,,,,,,,,,,,,,,,,,
21.4314029,41.9870802,bakery,Tony's Bakery,,,,,,,,,,,,,,,,,
21.4360635,41.9858897,convenience,ДА МИ,,,,,,,,,,,,,,,,,
21.4367041,41.9874058,confectionery,Evropa - Centar 2,11 Октомври,11,,09:00-21:00,,http://www.evropa.com.mk/prodavnici.php#,,,,,,,,,,,
21.4349892,41.9923199,convenience,,,,,,,,,,,,,,,,,,
21.4053391,42.0027574,convenience,Mena,,,,,,,,,,,,,,,,,
21.4054411,42.0027484,convenience,Stokomak,,,,,,,,,,,,,,,,,
21.4074367,42.0031701,convenience,ДИЕМ-ГП,,,,,,,,,,,,,,,,,
21.4079208,42.0032403,bakery,Pezogo,,,,,,,,,,,,,,,,,
21.4276016,41.9936824,bakery,,,,,,,,,,,,,,,,,,
21.4276102,41.9947556,convenience,Гранап,,,Granap,,,,,Гранап,,,,,,,,,
21.4283201,41.9948528,coffee,Coffee & Friends - Палома Бјанка,Даме Груев,16,,9-20,,https://www.facebook.com/coffeeandfriends.mk/,,,,,,,,,,,
21.4285322,41.9948662,confectionery,Evropa - Centar 1,Димитрие Чуповски,13б,,09:00-21:00,Скопје,http://www.evropa.com.mk/prodavnici.php#,,,,,,,,,,,
21.4292661,41.9924211,bakery,Pekara Bageti,Даме Груев,5/2,,,Скопје,,1000,,,,,,,,,,
21.4309247,41.9936634,beverages,Gnezdo,,,Kitchen Bar,,,,,,Gnezdo,,,,,,,,
21.4302935,41.9948126,bakery,,,,,,,,,,,,,,,,,,
21.4307088,41.9946969,bakery,Специјал (Рекорд),,,,,,,,Специјал,,,,,,,,,
21.4276677,41.996427,bakery,Коки,,,Koki,,,,,,,,,,,,,,
21.4224587,41.9917448,confectionery,Evropa - Centar 4,Булевар Мајка Тереза,4,,08:00-20:00,Скопје,http://www.evropa.com.mk/prodavnici.php#,,,,,,,,,,,
21.4245297,41.9947907,bakery,Pastel,,,,,,,,,,,,,,,,,
21.4246696,41.9971292,alcohol,Alkoteka,,,,,,,,,,,,,,,,,
21.426528,41.9993974,convenience,Агровита МК,,,,,,,,,,,,,,,,,
21.4268596,42.0003611,bakery,Жито Леб,,,,,,,,,,,,,,,fast_food,,
21.4190732,41.9895094,convenience,Mini Market Non-Stop,,,,,,,,PINGVIN,,,,,,,,,
21.4197865,41.9898813,bakery,Жито,,,,,,,,,,,,,,,,,
21.4205283,41.9904388,bakery,Sveti Nikole,,,,,,,,,,,,,,,,,
21.4208877,41.990702,convenience,,,,,,,,,,,,,,,,,,
21.4158854,41.9930603,bakery,,,,,,,,,,,,,,,,,,
21.4167659,41.9972137,convenience,,,,,,,,,,,,,,,,,,
21.4171325,41.9970288,greengrocer,,,,,,,,,,,,,,,,,,
21.4010765,42.0020133,bakery,Cake & Bake,,,,,,,,,,,,,,,,,
21.4006019,42.0029128,greengrocer,Фрути Фреш,,,Fruity Fresh,,,,,,,,,,,,,,
21.3990578,42.0038529,confectionery,Канела,,,,,,,,,,,,,,,,,
21.4021041,42.0066913,bakery,Kozle,,,,,,,,,,,,,,,,,
21.4638361,41.9991135,confectionery,Evropa - Gazi Baba,808,8,,08:00-17:00,Skopje,http://www.evropa.com.mk/prodavnici.php#,,,,,,,,,,,
21.4607538,42.0034245,bakery,Млечен Ресторан Исидора-Даниел,,,,,,,,,,,,,,,,,
21.4644629,42.0026068,confectionery,,,,,,,,,,,,,,,,,,
21.4645405,42.0026172,butcher,,,,,,,,,,,,,,,,,,
21.4646934,42.0026491,convenience,,,,,,,,,,,,,,,,,,
21.4615578,42.0096126,convenience,Ива,,,,,,,,Солета,,,,,,,,,
21.388728,41.9945528,convenience,Mak Reform Market,,,,,,,,,,,,,,,,,
21.3945748,41.9949944,convenience,Stokomak,,,,,,,,,,,,,,,,,
21.3946356,41.9993115,convenience,TED,Виенска,,,,,,,,ТЕД,,,,,,,,
21.3900483,42.0009355,bakery,Специјал - Тафталиџе,Московска,бб,Specijal - Taftalidze,Mo-Su 08:00-24:00,Cкoпje,http://www.specijal.com.mk/,1000,,,MK,+389 2 3089868,Skopje,Moskovska,,,,
21.3871902,42.0039263,confectionery,Палма,Булевар Партизански Одреди,121,Palma,,Скопје,,1000,Палма,,,,,,Палма (Тафталиџе),ice_cream,,
21.3955411,42.0026541,convenience,,,,,,,,,,,,,,,,,,
21.395592,42.0036232,bakery,,Булевар Партизански Одреди,,,,,,,,,,,,,,,,
21.411622,41.995732,confectionery,Канела,,,,,,,,,,,,,,,,,
21.4126329,41.9932377,bakery,,,,,,,,,,,,,,,,,,
21.4149805,41.9986134,greengrocer,,,,,,,,,,,,,,,,,,
21.4130078,42.0003219,bakery,,,,,,,,,,,,,,,,,,
21.4155593,42.0038171,convenience,Koki,,,,,,,,,,,,,,,,,
21.4425065,42.0077581,bakery,Солунска,,,Solunska,,,,,,,,,,,,,,
21.442179,42.0098021,bakery,,Панче Неделковски,45,Building,,,,,,,,,,,,,,
21.4387505,41.9834992,bakery,Бурекџилница Круна,,,,,,,,,,,,,,,,,
21.4439465,41.9910769,convenience,,,,,,,,,,,,,,,,,,
21.4455208,41.9910604,convenience,,,,,,,,,,,,,,,,,,
21.4453672,41.991182,bakery,Burek,,,,,,,,,,,,,,,,,
21.4455764,41.9913694,bakery,Slatki burek,,,,,,,,,,,,,,,,,
21.3597368,42.0065536,bakery,Охридска Банка-Ѓорче Петров,Булевар Ѓорче Петров,33,,Mo-Fr 08:30-16:30,,http://www.ob.com.mk,1000,,,,+389 02 2050260,,,,,,
21.3655868,42.0063093,convenience,Gigo,,,,,,,,,,,,,,,,,
21.3681193,42.0071003,convenience,,,,,,,,,,,,,,,,,,
21.3659086,42.0077722,convenience,Kam Market,,,,,,,,,,,,,,,,,
21.3667723,42.0076248,butcher,,,,,,,,,,,,,,,,,,
21.3666436,42.0079476,convenience,,,,,,,,,,,,,,,,,,
21.3644066,42.009279,seafood,Ribarnica,,,,,,,,,,,,,,,,,
21.3703234,42.0047229,bakery,Building 31,Исаија Мажовски,31,,,,,,,,,,,,,,,
21.3688239,42.0078582,convenience,Asura Market,,,,,,,,,,,,,,,,,
21.3579938,42.0159623,convenience,,,,,,,,,,,,,,,,,,
21.4172078,41.9978718,bakery,,,,,,,,,,,,,,,,,,
21.4172538,41.9995856,bakery,Специјал (Универзална Сала),,,,,,,,Специјал,,,,,,,,,
21.4174292,42.0001055,bakery,Силбо Фурна,Мајаковски,2/4,Silbo Bakery,24/7,Скопје,,1000,,,,,,,,,,yes
21.4182312,41.9983382,bakery,Cake Boutique,,,,,,,,,,,,,,,,,
21.4201393,41.9993939,bakery,Вршник,,,,Mo-Su,,,,,,,,,,,,,
21.421919,41.9986015,butcher,,,,,,,,,,,,,,,,,,
21.4229234,41.998251,bakery,Диман,,,,,,,,,,,,,,,,,
21.4227365,41.9983386,bakery,Ла Делишес,Аминта Трети,,La Delicious,,,,,,,,,,,,,regional,
21.4226434,41.998952,bakery,,,,,,,,,,,,,,,,,,
21.4346817,42.0093626,confectionery,,Свети Прохор Пчински,,,,,,,,,,,,,,,,
21.4381066,42.0129522,bakery,,Џон Кенеди,9б,Building,,,,,,,,,,,,,,
21.4382936,42.0130057,bakery,,Џон Кенеди,9а,Building,,,,,,,,,,,,,,
21.4025784,41.9930311,bakery,Спаткарница Канела Прима,Милан Марковиќ,43,,,Скопје,,1000,,,MK,,,Milan Markovic,,,,
21.4033892,41.9952408,greengrocer,Струмички лубеници - Watermelons,Брадфордска,,,24/7,Cкoпje,,1000,Павле Бостанџијата,,,,,,,,,
21.4095619,41.9958268,bakery,Златен Клас,,,,,,,,,,,,,,,,,
21.4086921,41.996888,butcher,Скара на кило,,,,,,,,,,,,,,,,,